location,sampleID,sampling,stage,sample_rep,weight_before_dilution,weight_after_dilution
L,R4H-1,R4,H,1,25.0 ,125.0 
L,R4H-2,R4,H,2,25.0 ,125.0 
L,R4H-3,R4,H,3,25.1 ,125.1 
L,R4P-1,R4,P,1,25.0 ,125.0 
L,R4P-2,R4,P,2,25.0 ,125.0 
L,R4P-3,R4,P,3,25.0 ,125.0 
L,R4SL10-1,R4,D10,1,25.0 ,125.0 
L,R4SL10-2,R4,D10,2,25.0 ,125.0 
L,R4SL10-3,R4,D10,3,25.0 ,125.0 
L,R5H-1,R5,H,1,25.0 ,125.0 
L,R5H-2,R5,H,2,25.0 ,125.0 
L,R5H-3,R5,H,3,25.0 ,125.1 
L,R5P-1,R5,P,1,25.0 ,125.0 
L,R5P-2,R5,P,2,25.0 ,125.0 
L,R5P-3,R5,P,3,25.0 ,125.0 
L,R5SL10-1,R5,D10,1,25.0 ,125.0 
L,R5SL10-2,R5,D10,2,25.0 ,125.0 
L,R5SL10-3,R5,D10,3,25.0 ,125.0 
L,R6H-1,R6,H,1,25.0 ,125.0 
L,R6H-2,R6,H,2,25.0 ,125.0 
L,R6H-3,R6,H,3,25.0 ,125.0 
L,R6P-1,R6,P,1,25.0 ,125.0 
L,R6P-2,R6,P,2,25.0 ,125.0 
L,R6P-3,R6,P,3,25.0 ,125.0 
L,R6SL10-1,R6,D10,1,25.0 ,125.0 
L,R6SL10-2,R6,D10,2,25.0 ,125.0 
L,R6SL10-3,R6,D10,3,25.0 ,125.0 
L,R7H-1,R7,H,1,25.0 ,125.0 
L,R7H-2,R7,H,2,25.0 ,125.0 
L,R7H-3,R7,H,3,25.0 ,125.0 
L,R7P-1,R7,P,1,25.0 ,125.0 
L,R7P-2,R7,P,2,25.0 ,125.0 
L,R7P-3,R7,P,3,25.0 ,125.0 
L,R7SL10-1,R7,D10,1,25.0 ,125.0 
L,R7SL10-2,R7,D10,2,25.0 ,125.0 
L,R7SL10-3,R7,D10,3,25.0 ,125.0 
